Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ensgene,symbol
ENSG00000000003.15,2885.86251115634,-0.226297628104694,0.045629436566463,-4.95946575573147,7.06873066090984e-07,1.02070864213842e-05,ENSG00000000003,TSPAN6
ENSG00000000419.14,2314.93897637805,-0.0253764729735251,0.0393380037867543,-0.645087969157951,0.518870179850597,0.683950557610118,ENSG00000000419,DPM1
ENSG00000000457.14,1344.01057336763,0.554819941690481,0.0581791098283933,9.53641166609447,1.47860009331489e-21,1.07363265061442e-19,ENSG00000000457,SCYL3
ENSG00000000460.17,632.340964498891,1.08176723742649,0.180425104165467,5.99565810107226,2.02663012497825e-09,4.59864089251762e-08,ENSG00000000460,C1orf112
ENSG00000001036.14,1859.74645747491,0.328384942986925,0.0599518546361035,5.47747763568217,4.31431513950416e-08,8.00321204053714e-07,ENSG00000001036,FUCA2
ENSG00000001084.13,1624.12893459744,-0.028837872191182,0.0493991284671126,-0.583772894098339,0.55937311715965,0.716383209005006,ENSG00000001084,GCLC
ENSG00000001167.15,4691.57205388104,-0.0827325382467366,0.040732040615798,-2.03114150423018,0.0422406422467052,0.124575681508433,ENSG00000001167,NFYA
ENSG00000001460.18,1287.56601534842,-0.135937858645876,0.144064745983226,-0.943588646327839,0.345379896351523,0.530550227674172,ENSG00000001460,STPG1
ENSG00000001461.17,3515.44297569368,-0.110581751876174,0.0816195634059296,-1.3548437073377,0.175467357892485,0.33714304342568,ENSG00000001461,NIPAL3
ENSG00000001497.18,1631.70169207446,0.0867697621960366,0.0800693095986573,1.08368315689201,0.278505306090129,0.464309488912001,ENSG00000001497,LAS1L
ENSG00000001561.7,1312.44609908227,-0.0884165072489861,0.0633688840445852,-1.39526691343938,0.162935365544636,0.320399209219388,ENSG00000001561,ENPP4
ENSG00000001617.12,874.928753200703,0.00649423783130617,0.0973230464466734,0.0667286739206688,0.946797706692262,0.970065352764984,ENSG00000001617,SEMA3F
ENSG00000001629.10,6187.22642907192,-0.00922856156626037,0.0384983975358738,-0.239712875260872,0.81055285290981,0.887981300278037,ENSG00000001629,ANKIB1
ENSG00000001630.18,17870.6645976496,0.0329337360669636,0.0305781750883481,1.07703406013635,0.281465049601557,0.467362206393332,ENSG00000001630,CYP51A1
ENSG00000001631.17,2356.14865723807,-0.0941689563578259,0.048493884771972,-1.94187281139936,0.0521524995815947,0.145969562154917,ENSG00000001631,KRIT1
ENSG00000002016.18,990.020893451939,0.71033186256711,0.105007158233553,6.76460419000406,1.33674134527352e-11,4.06362973071547e-10,ENSG00000002016,RAD52
ENSG00000002330.14,1088.78238255794,0.214367023537714,0.0804096183417387,2.66593758257451,0.00767739456227182,0.0336170409037864,ENSG00000002330,BAD
ENSG00000002549.13,1162.28614523413,-0.0646553153874385,0.0857438313414841,-0.754052091863515,0.450817942968873,0.629399620617313,ENSG00000002549,LAP3
ENSG00000002586.20,8920.57379715164,-0.0802119457013205,0.086481145281355,-0.927507902911803,0.353662890466556,0.53878364094935,ENSG00000002586,CD99
ENSG00000002746.15,4659.29865184866,-0.234905038238733,0.0678149323324107,-3.46391318489106,0.000532378296237061,0.00372313209151587,ENSG00000002746,HECW1
ENSG00000002822.16,933.529168177357,-0.125174683674761,0.109100232497895,-1.14733654373446,0.251242556229874,0.432359041442715,ENSG00000002822,MAD1L1
ENSG00000002834.18,8390.45042360039,0.122208430722566,0.0384146016612269,3.18130152175741,0.00146614947064128,0.00860922427145967,ENSG00000002834,LASP1
ENSG00000002919.15,1300.64046633971,0.0778308236447017,0.114579649510709,0.679272662964703,0.496965114268006,0.666132458544678,ENSG00000002919,SNX11
ENSG00000003056.8,4757.09505266367,0.0376371290663043,0.0348480677821475,1.0800348903587,0.280126643549391,0.466095228438145,ENSG00000003056,M6PR
ENSG00000003096.14,1392.09481979349,-0.000377767778951616,0.0713823481561891,-0.00529217360747276,0.995777476095628,0.997661782602471,ENSG00000003096,KLHL13
ENSG00000003147.19,1588.1106512766,0.0876880747886174,0.0551479305174398,1.59005195600018,0.111823094203112,0.247700132255082,ENSG00000003147,ICA1
ENSG00000003249.15,2957.33466131282,-0.103028417942709,0.0649873361390617,-1.58536145753453,0.112884232935763,0.249637999985162,ENSG00000003249,DBNDD1
ENSG00000003393.16,6344.08394450348,0.144182494102459,0.0394810442074039,3.65194226740893,0.000260264403264772,0.00202150352829185,ENSG00000003393,ALS2
ENSG00000003402.21,4001.58811028269,-0.0281141399210603,0.0517832625038908,-0.54291944079321,0.587185269997422,0.738018123230192,ENSG00000003402,CFLAR
ENSG00000003509.16,1050.51055632691,0.435216818402019,0.0767806378134433,5.66831470532299,1.44208910763463e-08,2.89031960421345e-07,ENSG00000003509,NDUFAF7
ENSG00000003756.17,8463.23373275731,0.122955253853622,0.0439259200824213,2.7991503336279,0.00512372765838156,0.0243028022975194,ENSG00000003756,RBM5
ENSG00000003987.14,3757.1633061496,0.0162527987242113,0.0378145063328999,0.429803276582004,0.667338749208012,0.79653141895418,ENSG00000003987,MTMR7
ENSG00000004059.11,3138.2924997479,-0.0389923806682326,0.051838719500616,-0.752186416714425,0.451938961053803,0.630106251712824,ENSG00000004059,ARF5
ENSG00000004139.14,4859.29548181108,-0.0174407588923409,0.0605872352194764,-0.287861937075721,0.773452423995567,0.866350001072866,ENSG00000004139,SARM1
ENSG00000004142.12,3819.25259285544,-0.0625366966348303,0.0411953330012667,-1.51805294626232,0.129001051767722,0.273210749989381,ENSG00000004142,POLDIP2
ENSG00000004399.13,1727.14449652575,0.0805125726802178,0.0718296864958602,1.12088158264283,0.26233827141617,0.445064407861852,ENSG00000004399,PLXND1
ENSG00000004455.18,4197.56075740912,0.0676361173152476,0.053559626564531,1.26281906080425,0.206654213016223,0.377021548427444,ENSG00000004455,AK2
ENSG00000004478.8,10186.8392218858,0.198443642998617,0.0373221671080665,5.31704502645901,1.05465977033882e-07,1.82334172812181e-06,ENSG00000004478,FKBP4
ENSG00000004487.18,16026.1035879312,-0.0780338539457468,0.0287713243082131,-2.71220932028739,0.00668363724279725,0.0302168512282112,ENSG00000004487,KDM1A
ENSG00000004534.15,7080.85536091058,0.171778724846378,0.0519914036306353,3.30398321358572,0.000953215396689242,0.00608057632817781,ENSG00000004534,RBM6
ENSG00000004660.15,996.303226202766,0.0586740968298264,0.0838782080634751,0.699515382892116,0.484230002970132,0.656962486412713,ENSG00000004660,CAMKK1
ENSG00000004700.16,1178.60190600844,0.0444215952949478,0.0681846762118665,0.651489422006185,0.51473060324576,0.680682878077206,ENSG00000004700,RECQL
ENSG00000004766.17,2625.16821554362,0.138384067882926,0.0549453981851018,2.51857430201403,0.0117831019626589,0.0469219293762165,ENSG00000004766,VPS50
ENSG00000004777.19,2645.56417118201,-0.115654645472353,0.0679143914248163,-1.70294753506533,0.0885778871541456,0.211850030503996,ENSG00000004777,ARHGAP33
ENSG00000004779.10,2183.78615896008,-0.0504572680169887,0.0383285450938581,-1.31644099439282,0.188026070735985,0.35307333838365,ENSG00000004779,NDUFAB1
ENSG00000004864.14,4761.52605755747,-0.0498225143959089,0.0389165419408845,-1.28024001905387,0.200460735407612,0.368739803825206,ENSG00000004864,SLC25A13
ENSG00000004866.22,3727.83094452345,0.106811492526817,0.0688038987956692,1.55240465142857,0.120565431191262,0.261036792323626,ENSG00000004866,ST7
ENSG00000004866.22,3727.83094452345,0.106811492526817,0.0688038987956692,1.55240465142857,0.120565431191262,0.261036792323626,ENSG00000004866,ST7
ENSG00000004897.12,7811.03483901716,0.0799805931125491,0.0514876932761024,1.5533924327053,0.120329409654771,0.260659019516396,ENSG00000004897,CDC27
ENSG00000004961.15,1632.08188441178,-0.142680404444548,0.0538786476886432,-2.64818087619936,0.00809262138467251,0.0351743367167968,ENSG00000004961,HCCS
ENSG00000004975.12,1391.68325137175,0.186418430943989,0.0765560588778399,2.4350578344355,0.0148894096783019,0.0563811998818281,ENSG00000004975,DVL2
ENSG00000005007.13,3176.3016194427,-0.847948902867525,0.0586232598536574,-14.464376511717,2.03440086331009e-47,8.61704392336043e-45,ENSG00000005007,UPF1
ENSG00000005020.13,1219.20071727802,-0.0115130451314272,0.0840346093375997,-0.137003613418072,0.891027938951521,0.937663935425008,ENSG00000005020,SKAP2
ENSG00000005022.6,5927.72624295706,-0.080459875347904,0.0440735385640967,-1.82558237820842,0.067913192166348,0.175901535437787,ENSG00000005022,SLC25A5
ENSG00000005059.16,344.22259970761,0.171771531161987,0.147041184510641,1.16818653041765,0.242731532486501,0.421883406279028,ENSG00000005059,MCUB
ENSG00000005075.16,1087.79997405045,-0.125640224057497,0.0567299926759782,-2.21470545175477,0.0267802884238162,0.0886883307275038,ENSG00000005075,POLR2J
ENSG00000005100.13,2160.63109608556,0.0102036651187086,0.0550251820091887,0.185436281101345,0.852886853653971,0.914491034459624,ENSG00000005100,DHX33
ENSG00000005108.17,20318.2717853043,-0.157174071460745,0.0939551770019313,-1.67286227833421,0.0943544112282777,0.221088235935409,ENSG00000005108,THSD7A
ENSG00000005156.12,2782.30068004181,0.114483219933273,0.0729955202896933,1.56835953054283,0.116797250109316,0.255418318014663,ENSG00000005156,LIG3
ENSG00000005175.10,5157.35349683998,-0.100049710419398,0.0504044079579854,-1.98493970017056,0.0471511807355434,0.135401142057978,ENSG00000005175,RPAP3
ENSG00000005189.20,433.295244299898,1.0487747328402,0.119530474066577,8.77412008134464,1.72245354715919e-18,9.55773677893093e-17,ENSG00000005189,REXO5
ENSG00000005194.15,3898.63222436771,0.1497609396938,0.0668856094213569,2.23906070363142,0.0251519666784995,0.0845518625882786,ENSG00000005194,CIAPIN1
ENSG00000005206.17,1690.46849983125,0.232128660322478,0.096089821816685,2.41574659973166,0.0157029852910042,0.0589128532898702,ENSG00000005206,SPPL2B
ENSG00000005238.20,1206.03459333921,0.232276224418667,0.0767473999365139,3.0265028471428,0.00247400491081268,0.013259038549851,ENSG00000005238,FAM214B
ENSG00000005249.13,18619.8487962082,-0.0127504478952626,0.0508951476213769,-0.250523841489109,0.802182269573717,0.883067970820059,ENSG00000005249,PRKAR2B
ENSG00000005302.19,1584.5058835239,-0.113358672011591,0.0532317277714745,-2.12953208090941,0.0332102635839855,0.104404458031099,ENSG00000005302,MSL3
ENSG00000005339.15,8563.19648912523,-0.365627406626075,0.071624458168069,-5.10478425914398,3.3117211524956e-07,5.13195618106849e-06,ENSG00000005339,CREBBP
ENSG00000005379.17,2263.57273016931,-0.0279037620236271,0.0738852322330577,-0.377663589600824,0.705680519270216,0.822107166765583,ENSG00000005379,TSPOAP1
ENSG00000005436.14,1137.97812761083,0.452090939445971,0.122365448149963,3.69459636099168,0.000220236362321903,0.00175937203097802,ENSG00000005436,GCFC2
ENSG00000005448.17,742.699791163521,0.133362109240542,0.0920014368964281,1.4495655039679,0.14717972144709,0.298708308645291,ENSG00000005448,WDR54
ENSG00000005469.12,334.157716062178,-0.290481936523181,0.0991635834076938,-2.92932068952082,0.00339703746537874,0.0173706861459024,ENSG00000005469,CROT
ENSG00000005483.22,15659.3230033799,0.0370634729597147,0.0462834359144866,0.800793463739238,0.423251223607079,0.605463612549687,ENSG00000005483,KMT2E
ENSG00000005486.17,5625.19241560562,0.318713842800188,0.0568432595705634,5.60688892945253,2.05995760670974e-08,4.01470572215655e-07,ENSG00000005486,RHBDD2
ENSG00000005513.10,478.903751865387,-0.852809104938779,0.0811953847029065,-10.5031721699356,8.35251675201897e-26,8.42344685459564e-24,ENSG00000005513,SOX8
ENSG00000005700.15,5407.19719747217,0.0791959774093123,0.0342257397205757,2.31393033593666,0.0206715437654361,0.072843401726954,ENSG00000005700,IBTK
ENSG00000005801.18,4883.76011830022,-0.109000119729016,0.0600340891821745,-1.81563710241782,0.0694260582440868,0.178621853169618,ENSG00000005801,ZNF195
ENSG00000005810.20,31007.2000636468,-0.184726764495976,0.065061151853787,-2.839279035685,0.00452155985629011,0.0219044838329693,ENSG00000005810,MYCBP2
ENSG00000005812.11,2372.01199836224,-0.0365544919158437,0.0437653158834641,-0.835238845600451,0.40358324206462,0.586900006513518,ENSG00000005812,FBXL3
ENSG00000005882.12,791.148836783465,-0.184700308541997,0.10869824769291,-1.69920226371822,0.089281080016874,0.21301064284161,ENSG00000005882,PDK2
ENSG00000005884.18,1362.96397316172,-0.00121826955216115,0.0757055752100241,-0.0160922038935891,0.987160833102764,0.992236410871446,ENSG00000005884,ITGA3
ENSG00000005889.16,2148.07849074272,-0.268795156694653,0.104658353583872,-2.56831057904273,0.0102195547807664,0.0418497849175634,ENSG00000005889,ZFX
ENSG00000005893.16,10520.5690587715,-0.0873094626152683,0.0488408885510022,-1.78763051217005,0.0738356393760572,0.186045899177386,ENSG00000005893,LAMP2
ENSG00000006007.12,6571.51385354997,-0.0222196776659865,0.0518302891188543,-0.42870063130525,0.668141101160405,0.796815483101386,ENSG00000006007,GDE1
ENSG00000006015.18,350.440316195114,0.0606673310316121,0.107540655415898,0.564133915652551,0.572662997953434,0.727028545808201,ENSG00000006015,C19orf60
ENSG00000006016.12,497.720216773007,0.227953187629678,0.0964577565964835,2.36324372111707,0.0181157514710816,0.0660346683714957,ENSG00000006016,CRLF1
ENSG00000006025.12,336.472774432622,0.208482210445116,0.19789818451232,1.05348217801431,0.292120058165278,0.478771943118907,ENSG00000006025,OSBPL7
ENSG00000006042.12,1756.35902958005,-0.138117780473361,0.072619446150837,-1.90193932609287,0.0571790871745944,0.155854073564427,ENSG00000006042,TMEM98
ENSG00000006047.13,283.611786669245,-0.190694029582931,0.136150028835652,-1.40061688722166,0.161328668305995,0.318323507478926,ENSG00000006047,YBX2
ENSG00000006071.16,435.889465614412,0.44057402828827,0.126983754918629,3.4695306385497,0.00052136859866151,0.00365418134759614,ENSG00000006071,ABCC8
ENSG00000006118.15,6213.12771105487,-0.022846493072655,0.0492786820338309,-0.463618183963817,0.642921323999201,0.780076914032734,ENSG00000006118,TMEM132A
ENSG00000006125.18,39574.9989766484,-0.0559033291019558,0.0286505659499997,-1.95121203537539,0.0510318278757602,0.143709542270587,ENSG00000006125,AP2B1
ENSG00000006128.12,697.323101989356,0.22603927250517,0.107746560483842,2.09787924078623,0.0359158142606997,0.110504177193877,ENSG00000006128,TAC1
