barcode,platform,replicate,bc,leiden_labels_res20,cluster,n_genes,n_counts,percent_mito,umap_1,umap_2,donor_barcode,cluster_label,cell_type,junctions
Parse-1-04_95_06__sParse,Parse,1,04_95_06__sParse,8,OPC,2128,3754,1.65157165689931,2.2388387,20.82075,04_95_06__sParse-1,OPC 1,OPC,519
Parse-1-04_95_22__sParse,Parse,1,04_95_22__sParse,2,Mural-2,4114,9755,2.0912352639672,-2.09491,5.6815233,04_95_22__sParse-1,Mural 2,Mural,1862
Parse-1-04_95_56__sParse,Parse,1,04_95_56__sParse,10,Glutamatergic neuron-5,694,1208,1.65562913907285,7.719895,6.848676,04_95_56__sParse-1,Glu 5,Glutamatergic,219
Parse-1-04_96_25__sParse,Parse,1,04_96_25__sParse,5,Mural-3,2775,5275,0.113744075829384,3.5434325,6.0498543,04_96_25__sParse-1,Mural 3,Mural,947
Parse-1-04_96_86__sParse,Parse,1,04_96_86__sParse,4,Glutamatergic neuron-2,2877,5463,0.146439685154677,10.539434,9.341714,04_96_86__sParse-1,Glu 2,Glutamatergic,1316
Parse-1-04_96_93__sParse,Parse,1,04_96_93__sParse,17,Glutamatergic neuron-6,3271,6670,0.689655172413793,-3.1317723,10.898234,04_96_93__sParse-1,Glu 6,Glutamatergic,1459
Parse-1-05_01_16__sParse,Parse,1,05_01_16__sParse,6,GABAergic VIP interneuron,1935,3765,2.41699867197875,-1.1867465,17.584423,05_01_16__sParse-1,VIP 1,GABAergic,567
Parse-1-05_01_18__sParse,Parse,1,05_01_18__sParse,1,Mural,5374,14739,0.251034669923333,5.738425,9.019468,05_01_18__sParse-1,Mural 1,Mural,2998
Parse-1-05_01_65__sParse,Parse,1,05_01_65__sParse,4,Glutamatergic neuron-2,3785,9062,0.132421099095122,10.267244,7.350934,05_01_65__sParse-1,Glu 2,Glutamatergic,2046
Parse-1-05_01_66__sParse,Parse,1,05_01_66__sParse,19,Endothelial,2229,4536,0.330687830687831,12.746443,-1.9733081,05_01_66__sParse-1,Endo 1,Endothelial,747
Parse-1-05_01_90__sParse,Parse,1,05_01_90__sParse,5,Mural-3,1966,3351,0.208892867800657,1.7756623,6.234631,05_01_90__sParse-1,Mural 3,Mural,499
Parse-1-05_02_21__sParse,Parse,1,05_02_21__sParse,12,12,1614,2891,1.2798339674853,4.9064064,11.569293,05_02_21__sParse-1,12,12,564
Parse-1-05_02_61__sParse,Parse,1,05_02_61__sParse,5,Mural-3,2280,5056,2.01740506329114,1.9795036,4.4005804,05_02_61__sParse-1,Mural 3,Mural,836
Parse-1-05_02_87__sParse,Parse,1,05_02_87__sParse,19,Endothelial,1385,2260,0.309734513274336,13.087707,-1.5697715,05_02_87__sParse-1,Endo 1,Endothelial,617
Parse-1-05_03_01__sParse,Parse,1,05_03_01__sParse,7,Glutamatergic neuron-3,1598,3171,2.74361400189215,-1.3390634,-2.5429122,05_03_01__sParse-1,Glu 3,Glutamatergic,640
Parse-1-05_03_02__sParse,Parse,1,05_03_02__sParse,5,Mural-3,1571,2422,0.412881915772089,2.6155794,6.2765503,05_03_02__sParse-1,Mural 3,Mural,341
Parse-1-05_03_27__sParse,Parse,1,05_03_27__sParse,2,Mural-2,3114,5854,0,0.27262098,5.781676,05_03_27__sParse-1,Mural 2,Mural,1210
Parse-1-05_03_65__sParse,Parse,1,05_03_65__sParse,2,Mural-2,1938,3131,0.0958160332162248,-1.5777426,7.015314,05_03_65__sParse-1,Mural 2,Mural,791
Parse-1-05_04_19__sParse,Parse,1,05_04_19__sParse,13,Mural-4,1552,3119,0.577108047451106,19.181961,6.583975,05_04_19__sParse-1,Mural 4,Mural,497
Parse-1-05_04_22__sParse,Parse,1,05_04_22__sParse,17,Glutamatergic neuron-6,4903,14155,0.317908866125044,-3.4489212,11.744391,05_04_22__sParse-1,Glu 6,Glutamatergic,2302
Parse-1-05_04_31__sParse,Parse,1,05_04_31__sParse,11,GABAergic PVALB interneuron,2770,7378,2.10084033613445,-9.273641,6.00943,05_04_31__sParse-1,PVALB 1,GABAergic,1005
Parse-1-05_04_85__sParse,Parse,1,05_04_85__sParse,2,Mural-2,3502,7353,0.244798041615667,-0.34907964,5.182078,05_04_85__sParse-1,Mural 2,Mural,2043
Parse-1-05_04_94__sParse,Parse,1,05_04_94__sParse,1,Mural,3813,8766,0.444900752908966,4.946961,10.268489,05_04_94__sParse-1,Mural 1,Mural,1591
Parse-1-05_05_21__sParse,Parse,1,05_05_21__sParse,9,Glutamatergic neuron-4,5854,18205,0.252677835759407,9.595425,10.477881,05_05_21__sParse-1,Glu 4,Glutamatergic,3938
Parse-1-05_05_41__sParse,Parse,1,05_05_41__sParse,2,Mural-2,1904,3188,0.533249686323714,0.036594123,6.6236143,05_05_41__sParse-1,Mural 2,Mural,508
Parse-1-05_05_56__sParse,Parse,1,05_05_56__sParse,7,Glutamatergic neuron-3,1958,3974,3.62355309511827,-0.27434018,-2.4485743,05_05_56__sParse-1,Glu 3,Glutamatergic,940
Parse-1-05_05_66__sParse,Parse,1,05_05_66__sParse,19,Endothelial,937,1520,1.57894736842105,10.697895,-3.3713155,05_05_66__sParse-1,Endo 1,Endothelial,170
Parse-1-05_05_77__sParse,Parse,1,05_05_77__sParse,14,14,5743,18403,0.146715209476716,0.8318078,-8.675903,05_05_77__sParse-1,14,14,3774
Parse-1-05_05_80__sParse,Parse,1,05_05_80__sParse,1,Mural,1991,3224,0.310173697270472,3.6874835,9.805599,05_05_80__sParse-1,Mural 1,Mural,500
Parse-1-05_05_86__sParse,Parse,1,05_05_86__sParse,8,OPC,2794,6105,0.212940212940213,1.723271,19.542097,05_05_86__sParse-1,OPC 1,OPC,876
Parse-1-05_05_92__sParse,Parse,1,05_05_92__sParse,10,Glutamatergic neuron-5,4835,12409,0.241760012893867,8.2463255,4.3975267,05_05_92__sParse-1,Glu 5,Glutamatergic,2250
Parse-1-05_06_54__sParse,Parse,1,05_06_54__sParse,2,Mural-2,2096,4570,2.69146608315099,0.81061274,4.2208395,05_06_54__sParse-1,Mural 2,Mural,650
Parse-1-05_06_76__sParse,Parse,1,05_06_76__sParse,12,12,2577,4461,0.425913472315624,4.6704135,12.287463,05_06_76__sParse-1,12,12,1078
Parse-1-05_07_02__sParse,Parse,1,05_07_02__sParse,8,OPC,6317,27337,0.493836192705857,3.5815759,19.541765,05_07_02__sParse-1,OPC 1,OPC,6089
Parse-1-05_07_08__sParse,Parse,1,05_07_08__sParse,6,GABAergic VIP interneuron,2651,6355,0.0944138473642801,-2.9506378,19.172682,05_07_08__sParse-1,VIP 1,GABAergic,1000
Parse-1-05_07_12__sParse,Parse,1,05_07_12__sParse,14,14,3630,8123,0.295457343346054,1.2526245,-8.465222,05_07_12__sParse-1,14,14,1747
Parse-1-05_07_41__sParse,Parse,1,05_07_41__sParse,3,Glutamatergic neuron,6081,19678,0.421790832401667,12.256779,6.9836273,05_07_41__sParse-1,Glu 1,Glutamatergic,4446
Parse-1-05_07_42__sParse,Parse,1,05_07_42__sParse,2,Mural-2,6176,20559,0.0389123984629603,-1.438763,4.205261,05_07_42__sParse-1,Mural 2,Mural,4278
