n_counts_for_gene,n_cryptic,pc_cryptic,gene_name,sample_name
146,27,18.49315068,PXDN,P16_09
191,5,2.617801047,PXDN,P28_07
51,9,17.64705882,PXDN,P35_07
3,3,100,RAI2,P86_08
6,1,16.66666667,RAI2,P63_05
1,0,0,RAI2,P40_04
1,1,100,RAI2,P47_11
2,0,0,RAI2,P56_13
5,2,40,RAI2,P45_15
6,5,83.33333333,RAI2,P64_11
2,1,50,RAI2,P16_09
3,0,0,RAI2,P28_07
2,0,0,RAI2,P35_07
1111,11,0.99009901,RALGAPA2,P86_08
1213,1,0.082440231,RALGAPA2,P63_05
1936,19,0.981404959,RALGAPA2,P11_07
858,0,0,RALGAPA2,P40_04
1503,0,0,RALGAPA2,P13_13
1166,14,1.200686106,RALGAPA2,P47_11
1392,0,0,RALGAPA2,P56_13
1642,13,0.791717418,RALGAPA2,P45_15
1170,0,0,RALGAPA2,P07_15
471,0,0,RALGAPA2,P17_07
3527,0,0,RALGAPA2,P64_11
733,4,0.545702592,RALGAPA2,P16_09
2270,23,1.013215859,RALGAPA2,P28_07
658,0,0,RALGAPA2,P35_07
6502,140,2.153183636,RAP1GAP,P86_08
7154,118,1.649426894,RAP1GAP,P63_05
648,1,0.154320988,RAP1GAP,P11_07
10034,73,0.72752641,RAP1GAP,P40_04
5121,21,0.410076157,RAP1GAP,P13_13
18178,47,0.258554296,RAP1GAP,P47_11
19051,798,4.188756496,RAP1GAP,P56_13
7998,455,5.688922231,RAP1GAP,P45_15
5314,75,1.411366202,RAP1GAP,P07_15
12675,10,0.078895464,RAP1GAP,P17_07
11127,1,0.008987148,RAP1GAP,P64_11
9732,183,1.880394575,RAP1GAP,P16_09
3664,159,4.339519651,RAP1GAP,P28_07
6411,2,0.031196381,RAP1GAP,P35_07
6305,258,4.091990484,RNF115,P86_08
5708,295,5.168185004,RNF115,P63_05
7592,607,7.995258166,RNF115,P11_07
7897,280,3.545650247,RNF115,P40_04
5171,255,4.931347902,RNF115,P13_13
2,0,0,RNF115,ddH2O
7194,310,4.309146511,RNF115,P47_11
8908,455,5.107768298,RNF115,P56_13
8771,454,5.176148672,RNF115,P45_15
5951,469,7.881028399,RNF115,P07_15
4510,559,12.39467849,RNF115,P17_07
16723,609,3.641691084,RNF115,P64_11
5617,152,2.706070856,RNF115,P16_09
10569,397,3.756268332,RNF115,P28_07
6380,115,1.802507837,RNF115,P35_07
16008,30,0.187406297,RSF1,P86_08
17296,48,0.277520814,RSF1,P63_05
21928,22,0.100328347,RSF1,P11_07
18150,74,0.407713499,RSF1,P40_04
17295,25,0.144550448,RSF1,P13_13
10,0,0,RSF1,ddH2O
7616,2,0.026260504,RSF1,P47_11
11885,117,0.984434161,RSF1,P56_13
16230,125,0.770178681,RSF1,P45_15
11507,37,0.321543408,RSF1,P07_15
9135,0,0,RSF1,P17_07
35242,0,0,RSF1,P64_11
9966,30,0.30102348,RSF1,P16_09
28359,45,0.158679784,RSF1,P28_07
9661,3,0.031052686,RSF1,P35_07
564,0,0,SCRT1,P86_08
402,0,0,SCRT1,P63_05
241,0,0,SCRT1,P11_07
931,0,0,SCRT1,P40_04
1205,0,0,SCRT1,P13_13
2835,0,0,SCRT1,P47_11
1807,0,0,SCRT1,P56_13
1124,0,0,SCRT1,P45_15
952,0,0,SCRT1,P07_15
682,0,0,SCRT1,P17_07
2124,0,0,SCRT1,P64_11
699,0,0,SCRT1,P16_09
316,0,0,SCRT1,P28_07
2560,0,0,SCRT1,P35_07
1,0,0,SEMA6D,P11_07
2,2,100,SEMA6D,P56_13
7,0,0,SEMA6D,P07_15
1,0,0,SEMA6D,P28_07
610,0,0,SEPT7P2,P86_08
518,0,0,SEPT7P2,P63_05
66,0,0,SEPT7P2,P11_07
887,0,0,SEPT7P2,P40_04
1178,0,0,SEPT7P2,P13_13
2,0,0,SEPT7P2,ddH2O
3031,0,0,SEPT7P2,P47_11
1911,0,0,SEPT7P2,P56_13
986,0,0,SEPT7P2,P45_15
1056,0,0,SEPT7P2,P07_15
2333,0,0,SEPT7P2,P17_07
1841,0,0,SEPT7P2,P64_11
1097,0,0,SEPT7P2,P16_09
414,0,0,SEPT7P2,P28_07
1160,0,0,SEPT7P2,P35_07
966,192,19.8757764,SETD5,P86_08
898,176,19.59910913,SETD5,P63_05
1071,135,12.60504202,SETD5,P11_07
1239,533,43.01856336,SETD5,P40_04
1158,255,22.02072539,SETD5,P13_13
1571,649,41.31126671,SETD5,P47_11
1614,561,34.75836431,SETD5,P56_13
1570,495,31.52866242,SETD5,P45_15
1149,272,23.67275892,SETD5,P07_15
2849,930,32.64303264,SETD5,P17_07
2929,534,18.23147832,SETD5,P64_11
811,359,44.26633785,SETD5,P16_09
1393,251,18.01866475,SETD5,P28_07
775,344,44.38709677,SETD5,P35_07
56,0,0,SHQ1,P86_08
96,0,0,SHQ1,P63_05
255,0,0,SHQ1,P11_07
45,0,0,SHQ1,P40_04
30,0,0,SHQ1,P13_13
81,0,0,SHQ1,P47_11
49,1,2.040816327,SHQ1,P56_13
88,10,11.36363636,SHQ1,P45_15
69,23,33.33333333,SHQ1,P07_15
45,0,0,SHQ1,P17_07
146,0,0,SHQ1,P64_11
31,1,3.225806452,SHQ1,P16_09
119,14,11.76470588,SHQ1,P28_07
67,0,0,SHQ1,P35_07
1848,25,1.352813853,SLC24A3,P86_08
664,30,4.518072289,SLC24A3,P63_05
659,64,9.71168437,SLC24A3,P11_07
1734,39,2.249134948,SLC24A3,P40_04
2269,20,0.881445571,SLC24A3,P13_13
1997,60,3.00450676,SLC24A3,P47_11
2054,122,5.93962999,SLC24A3,P56_13
4005,70,1.747815231,SLC24A3,P45_15
2087,75,3.593675132,SLC24A3,P07_15
660,0,0,SLC24A3,P17_07
5526,20,0.361925443,SLC24A3,P64_11
1582,56,3.539823009,SLC24A3,P16_09
5677,179,3.153073807,SLC24A3,P28_07
1257,42,3.341288783,SLC24A3,P35_07
2,0,0,SLC5A7,P86_08
4,0,0,SLC5A7,P63_05
6,0,0,SLC5A7,P11_07
13,6,46.15384615,SLC5A7,P40_04
4,0,0,SLC5A7,P47_11
8,0,0,SLC5A7,P56_13
5,0,0,SLC5A7,P35_07
207,9,4.347826087,SPACA9,P86_08
129,8,6.201550388,SPACA9,P63_05
108,11,10.18518519,SPACA9,P11_07
179,9,5.027932961,SPACA9,P40_04
134,0,0,SPACA9,P13_13
269,17,6.319702602,SPACA9,P47_11
299,21,7.023411371,SPACA9,P56_13
264,6,2.272727273,SPACA9,P45_15
102,5,4.901960784,SPACA9,P07_15
181,7,3.867403315,SPACA9,P17_07
362,37,10.22099448,SPACA9,P64_11
141,7,4.964539007,SPACA9,P16_09
338,17,5.029585799,SPACA9,P28_07
160,12,7.5,SPACA9,P35_07
183,0,0,SPEG,P86_08
117,0,0,SPEG,P63_05
103,0,0,SPEG,P11_07
205,0,0,SPEG,P40_04
168,0,0,SPEG,P13_13
461,0,0,SPEG,P47_11
337,0,0,SPEG,P56_13
294,0,0,SPEG,P45_15
187,0,0,SPEG,P07_15
203,0,0,SPEG,P17_07
670,0,0,SPEG,P64_11
196,0,0,SPEG,P16_09
304,0,0,SPEG,P28_07
229,0,0,SPEG,P35_07
2593,10,0.385653683,STMN2,P86_08
2136,10,0.468164794,STMN2,P63_05
350,0,0,STMN2,P11_07
13406,6,0.044756079,STMN2,P40_04
4570,0,0,STMN2,P13_13
6,0,0,STMN2,ddH2O
