n_counts_for_gene,n_cryptic,pc_cryptic,gene_name,sample_name
1195,0,0,ZNF521,P40_04
864,0,0,ZNF521,P13_13
2,0,0,ZNF521,ddH2O
1106,0,0,ZNF521,P47_11
1267,2,0.157853197,ZNF521,P56_13
2302,0,0,ZNF521,P45_15
1229,0,0,ZNF521,P07_15
840,0,0,ZNF521,P17_07
2819,0,0,ZNF521,P64_11
1106,0,0,ZNF521,P16_09
2458,0,0,ZNF521,P28_07
715,0,0,ZNF521,P35_07
104,0,0,ZNF527,P86_08
176,0,0,ZNF527,P63_05
383,0,0,ZNF527,P11_07
124,0,0,ZNF527,P40_04
26,0,0,ZNF527,P13_13
184,0,0,ZNF527,P47_11
140,0,0,ZNF527,P56_13
168,0,0,ZNF527,P45_15
106,0,0,ZNF527,P07_15
109,0,0,ZNF527,P17_07
174,0,0,ZNF527,P64_11
114,0,0,ZNF527,P16_09
260,0,0,ZNF527,P28_07
74,0,0,ZNF527,P35_07
11,0,0,ZNF529,P86_08
7,0,0,ZNF529,P63_05
29,0,0,ZNF529,P11_07
8,0,0,ZNF529,P40_04
65,0,0,ZNF529,P13_13
15,0,0,ZNF529,P47_11
18,0,0,ZNF529,P56_13
34,0,0,ZNF529,P45_15
29,0,0,ZNF529,P07_15
11,0,0,ZNF529,P17_07
38,0,0,ZNF529,P64_11
38,0,0,ZNF529,P16_09
41,0,0,ZNF529,P28_07
9,0,0,ZNF529,P35_07
244,0,0,ZNF583,P86_08
249,0,0,ZNF583,P63_05
224,0,0,ZNF583,P11_07
218,0,0,ZNF583,P40_04
219,0,0,ZNF583,P13_13
267,0,0,ZNF583,P47_11
310,0,0,ZNF583,P56_13
332,0,0,ZNF583,P45_15
196,0,0,ZNF583,P07_15
168,0,0,ZNF583,P17_07
447,0,0,ZNF583,P64_11
166,0,0,ZNF583,P16_09
347,0,0,ZNF583,P28_07
135,0,0,ZNF583,P35_07
13,0,0,ZNF826P,P63_05
15,0,0,ZNF826P,P40_04
4,0,0,ZNF826P,P56_13
29,0,0,ZNF826P,P64_11
6,0,0,ZNF826P,P28_07
